Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,random55,-0.32691546413250583,-1.4149921235149985,0.03400503778337532,0.9197838034649932,1.0,38/98,28.48%,SFTPB;SPINK2;GGTA1;ZNF528-AS1;HLA-DRB5;CAMTA1-AS1;BNIP3L;RPL27AP8;PAXX;ZNF181;ZNF717;SHC2;LUADT1;AMY2B;RNF183;HBP1;PAPSS2;CXorf58;NEUROG2;KLKB1;SNORD14E;GSN;LY6G6F-LY6G6D;GUSBP11;CLEC4G;STX18-IT1;RNY3P11;RN7SL150P;RPL7AP52;EEF1B2P4;LINC01883;RNA5SP309;ANOS2P;UNC13D;SRRM4;ATOX1-AS1;OR2AE1;PLEKHH1
prerank,random898,0.26532712712710116,1.4136511299323085,0.031413612565445025,0.5548871345329026,0.965,28/98,17.55%,SNORD116-14;LINC01416;ACAT2;HNRNPA1P35;LITAF;VKORC1L1;RAB19;RPS20P10;HAS2-AS1;PPP1R9B;CLSTN2;SORCS2;RNF2P1;STK26;CASK;ZNF512B;INPP5E;MFSD4B-DT;PPIAP44;NHP2P2;SREBF2-AS1;TRAPPC12;LINC01892;SINHCAF;RTL10;LINC02249;VASH2;SNORA79B
prerank,random110,-0.32697368520000153,-1.4106128632007366,0.026282853566958697,0.9254454148531894,1.0,32/98,25.39%,SLC2A1-DT;SCN4B;ISG20;GAD3P;MEF2C-AS2;C5AR1;H2AZ2P1;HOTAIR;OAZ2;APOL4;LINC02073;ARHGAP27P1-BPTFP1-KPNA2P3;LINC02185;ATP5MC1P4;LINC02627;GLUD1;RNU6-1138P;MBP;PHYHIP;MIR210;MRS2P2;MPPED1;TRABD-AS1;DNAJC25;H1-1;BNIP3P13;RPS29P12;LINC00701;GPS2P2;RNY1P1;LINC00484;CYP11A1
prerank,random475,-0.3284639124102752,-1.4077965487146344,0.03333333333333333,0.9164540483555803,1.0,42/98,31.28%,CFAP74;PORCN;SLC11A1;RPS7P7;HEATR5A-DT;ADAMTSL2;RPL21P136;HLA-DMB;SOX18;LINC00839;STAT4;SERINC3;FAM215A;GOLM2P1;LINC02804;RFX4;CD3G;SLC39A12;MIR8089;MUC13;LINC01102;RNU6-237P;SLC30A6-DT;ZNF133;ITPRID2-DT;BRD7P1;MEMO1P4;RNU1-27P;RPL36AP27;GUSBP12;LCE1F;RNU6-409P;LINC02260;RNU6-97P;CBR1-AS1;DUSP8P1;IFNB1;LINGO1-AS2;EWSAT1;PPIAP67;CYCSP55;SYTL4
prerank,random376,0.27540248477508417,1.4074352652211666,0.009852216748768473,0.5042395037678782,0.97,31/98,16.71%,IFNWP2;ZBTB12BP;POTEKP;GLTPD2;DPRX;SV2A;OR5P1P;KANK4;UNK;GTPBP6;PLXDC2;VDAC2P2;MYCNOS;NAGK;PAFAH1B3;CEP43;GPR143;LINC02682;CDK3;RTN2;GGACT;SINHCAFP2;MED21;UBE2W;HIGD1AP9;CLN8;HOXC6;RPSAP51;GUCY2C;SLC26A7;PNRC1-DT
prerank,random865,-0.3267266570419981,-1.4074063265261678,0.030229746070133012,0.8883350319175323,1.0,27/98,20.95%,PYGM;GDF5;LINC02611;PPP1R16B;CD320;ANKRD49P3;SYNM;LINC01476;C22orf42;SLC26A5-AS1;GRAP;BET1P1;ZIC3;HERC2P4;RELL2;SYCP2;MYLK;SLC7A10;CADPS;ENTREP2;MYBPH;RNF128;STX18-IT1;ATP8A2;C20orf204;TRAV1-1;LINC02010
prerank,random121,-0.32764174504933624,-1.4060329604765962,0.025094102885821833,0.8708778403090952,1.0,43/98,28.62%,C1orf54;ZNF566-AS1;TDRD1;LINC01871;TNRC6C;LINC01273;LINC02284;FCN1;RPS3AP13;MAPRE3;TSPAN5-DT;RPS20P23;TMEM132D-AS2;ELAVL4;SRP68P2;TMF1P1;SNORD115-32;AK3P4;CTBS;SH2D2A;LINC01736;FBXO39;GBP3;CYP4Z1;OR10AD1;MKRN6P;DUX4L26;TCEAL4;RNA5SP367;OR3D1P;RN7SL340P;HMGB1P42;RPS27AP17;MRPL41;STAP1;ST3GAL5;FAM186A;GSX2;ZNF292;PCDH19;DMP1;SELENOK;USP8P1
prerank,random579,0.274473329399525,1.405999144891368,0.00975609756097561,0.4483992925616445,0.973,27/98,17.10%,PGA5;RN7SL208P;ARF3;MIR205HG;TIAM1-AS1;MIR6809;FAM8A3P;CAMSAP1-DT;PSME2P3;NUDT8;PRUNE2;HCG20;MIR4319;ARHGEF10L;ZNF69;PHACTR2-AS1;PLK4;TMEM168;LINC02330;RNU1-21P;MAP7-AS1;DCAF13;NFKBID;FADS1;ITPR2;PNRC1-DT;EZR-AS1
prerank,random248,-0.32370655471932014,-1.3858483630011693,0.0449438202247191,1.0,1.0,45/98,32.31%,TRPM4;ZNF582-DT;SCGN;EID2B;HAAO;P2RX1;ANKHD1-DT;TMIGD2;ARRDC5;CD1D;E2F3P2;TTC30A;ARNT2;TBX2-AS1;SLC12A2-DT;FGF10-AS1;RRN3P4;KIR3DL1;DNAJC5G;ZNF479;CSH2;DDTL;LINC02322;COL22A1;RNU5B-3P;RNU6-1147P;AURKAP2;SRY;MIR8071-2;BNIP3P36;LINC00836;DNAJB5-DT;NLGN4Y;STK39;SLC6A18;MIR3657;RPS6KA2-AS1;G0S2;NRXN1;FAM181A-AS1;CSP2;OGA;IFITM3P3;SPACA7BP;API5P2
prerank,random705,-0.3234876420068196,-1.3855785496434456,0.03345724907063197,0.9907721013007342,1.0,43/98,34.79%,MRPS30-DT;GVINP2;DEGS2;ZNF835;CPED1;HSPB7;CHP2;NR2E1;LINC01976;DNM3OS;CPTP;LHX2-AS1;LSMEM2;IL12B;SSTR4;HLA-DPB2;DOC2A;GDA;KNCN;IFITM3;AGRP;RNU5F-6P;UMOD;RNA5SP492;OPRPN;MIR4504;CRHBP;KCNJ4;DISC1-IT1;LINC01023;ERICH6;EPHX3;BICRAL;KCNF1;CDK15;ZNF483;LINC00513;RNU7-18P;ARHGAP18;RDH12;ACTL8;PAPOLG;PIK3C3
